danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster,id
0.321,0.00611,4.0,-38.341,0.0,0.0362,0.995,0.908,0.09,0.0693,104.311,8.0,1YcABWwgkfrOSw8VMgDWZU
0.424,0.00798,5.0,-28.345,0.0,0.0496,0.996,0.925,0.0983,0.0794,124.166,8.0,4820SC1xnUaabzzYQTDkP2
0.335,0.00532,1.0,-31.646,1.0,0.0376,0.994,0.912,0.0621,0.0397,65.832,8.0,5u5aVJKjSMJr4zesMPz7bL
0.33,0.00357,3.0,-33.142,1.0,0.0339,0.995,0.953,0.0989,0.121,100.741,8.0,6MzbO6YS0M6tjwT93hjAl0
0.306,0.0127,7.0,-33.274,1.0,0.0466,0.991,0.952,0.0634,0.106,89.231,8.0,6PBCzLB9IiyA6kM6Q3nO5x
0.388,0.00269,4.0,-32.97,0.0,0.0516,0.995,0.869,0.063,0.0397,63.386,8.0,1Xf4sNtMKc1xiUhuIPAUg2
0.211,0.00756,7.0,-33.123,1.0,0.0455,0.994,0.89,0.0734,0.0391,118.247,8.0,0DxTEuqiERU7W4Cfy6IeLa
0.34,0.138,2.0,-24.95,0.0,0.0357,0.984,0.846,0.112,0.325,128.563,8.0,3TdROUy5JZz1OcBKMZjeux
0.252,0.0875,9.0,-24.711,0.0,0.0403,0.989,0.873,0.108,0.126,135.774,8.0,47DeTufpEGrePu6TaVEuoN
0.435,0.0685,9.0,-25.122,1.0,0.0432,0.944,0.948,0.163,0.191,116.085,8.0,3jB3vzH1WG6aiUiiLLGvly
0.384,0.00341,0.0,-39.053,0.0,0.0447,0.996,0.943,0.0964,0.117,116.941,8.0,3KG9I4JXpDwNQOsotE3uLh
0.221,0.00193,3.0,-43.209,1.0,0.0409,0.992,0.956,0.0805,0.347,69.843,8.0,7lFRAFQ2f2AmWOefaiV4wb
0.235,0.00362,3.0,-37.822,0.0,0.0441,0.995,0.79,0.0956,0.0885,69.677,8.0,2kbruQXVXFmxxm4l75zuwy
0.309,0.335,4.0,-16.708,0.0,0.0365,0.964,0.889,0.0932,0.356,84.623,8.0,2AwBq3Ecjq5IfpC5f897VY
0.251,0.15,2.0,-15.076,1.0,0.0342,0.989,0.972,0.113,0.0727,70.453,8.0,2bPWLtJe3v33z1j40sWB8a
0.387,0.00906,8.0,-34.559,1.0,0.0455,0.996,0.889,0.0985,0.133,67.855,8.0,7ouW02587AzIaGnK0gh8St
0.342,0.013,2.0,-30.436,0.0,0.0347,0.991,0.935,0.144,0.0982,76.632,8.0,7peGuJtU76TKrTYpwmxGBU
