danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
0.716,0.759,0.0,-9.395,1.0,0.0271,0.0583,0.00543,0.353,0.856,120.773,audio_features,0zDxwumKmmwzNPYeEQMulS,spotify:track:0zDxwumKmmwzNPYeEQMulS,https://api.spotify.com/v1/tracks/0zDxwumKmmwzNPYeEQMulS,https://api.spotify.com/v1/audio-analysis/0zDxwumKmmwzNPYeEQMulS,256667.0,4.0,
0.764,0.733,11.0,-10.763,0.0,0.0538,0.0986,0.00104,0.171,0.887,116.185,audio_features,32YzjV133gteg9LMBGO2OA,spotify:track:32YzjV133gteg9LMBGO2OA,https://api.spotify.com/v1/tracks/32YzjV133gteg9LMBGO2OA,https://api.spotify.com/v1/audio-analysis/32YzjV133gteg9LMBGO2OA,252307.0,4.0,
0.593,0.712,7.0,-12.946,1.0,0.0411,0.00947,0.218,0.061,0.45,131.412,audio_features,03AAIrcRJgzazS7R3eek5N,spotify:track:03AAIrcRJgzazS7R3eek5N,https://api.spotify.com/v1/tracks/03AAIrcRJgzazS7R3eek5N,https://api.spotify.com/v1/audio-analysis/03AAIrcRJgzazS7R3eek5N,368693.0,4.0,
0.644,0.619,5.0,-14.015,0.0,0.0376,0.0663,0.000494,0.107,0.679,119.616,audio_features,4L9sdN5l6PvW3EZyP6sY7j,spotify:track:4L9sdN5l6PvW3EZyP6sY7j,https://api.spotify.com/v1/tracks/4L9sdN5l6PvW3EZyP6sY7j,https://api.spotify.com/v1/audio-analysis/4L9sdN5l6PvW3EZyP6sY7j,207107.0,4.0,
0.848,0.868,1.0,-7.599,1.0,0.0858,0.142,0.013,0.134,0.871,108.623,audio_features,653Fi3bqMxQQQmjw72ur6G,spotify:track:653Fi3bqMxQQQmjw72ur6G,https://api.spotify.com/v1/tracks/653Fi3bqMxQQQmjw72ur6G,https://api.spotify.com/v1/audio-analysis/653Fi3bqMxQQQmjw72ur6G,281693.0,4.0,
0.508,0.669,1.0,-10.34,1.0,0.0377,0.24,0.0154,0.0523,0.878,112.436,audio_features,4UqPeeSyRt59KZmC0aA2Ni,spotify:track:4UqPeeSyRt59KZmC0aA2Ni,https://api.spotify.com/v1/tracks/4UqPeeSyRt59KZmC0aA2Ni,https://api.spotify.com/v1/audio-analysis/4UqPeeSyRt59KZmC0aA2Ni,468640.0,4.0,
0.706,0.7,7.0,-10.251,0.0,0.0289,0.19,5.25e-06,0.0736,0.961,112.805,audio_features,6bIt8A7azEBA69eSSBM841,spotify:track:6bIt8A7azEBA69eSSBM841,https://api.spotify.com/v1/tracks/6bIt8A7azEBA69eSSBM841,https://api.spotify.com/v1/audio-analysis/6bIt8A7azEBA69eSSBM841,256773.0,4.0,
0.55,0.722,11.0,-11.729,0.0,0.0283,0.25,0.0129,0.11,0.716,103.886,audio_features,14XWXWv5FoCbFzLksawpEe,spotify:track:14XWXWv5FoCbFzLksawpEe,https://api.spotify.com/v1/tracks/14XWXWv5FoCbFzLksawpEe,https://api.spotify.com/v1/audio-analysis/14XWXWv5FoCbFzLksawpEe,434720.0,4.0,
0.533,0.905,2.0,-5.27,1.0,0.0754,0.00876,0.578,0.0698,0.486,108.9,audio_features,0wJoRiX5K5BxlqZTolB2LD,spotify:track:0wJoRiX5K5BxlqZTolB2LD,https://api.spotify.com/v1/tracks/0wJoRiX5K5BxlqZTolB2LD,https://api.spotify.com/v1/audio-analysis/0wJoRiX5K5BxlqZTolB2LD,170813.0,4.0,
0.553,0.576,0.0,-13.458,1.0,0.0304,0.191,0.00664,0.0365,0.457,109.827,audio_features,3Xls4cNOwy01dtrNXb1inG,spotify:track:3Xls4cNOwy01dtrNXb1inG,https://api.spotify.com/v1/tracks/3Xls4cNOwy01dtrNXb1inG,https://api.spotify.com/v1/audio-analysis/3Xls4cNOwy01dtrNXb1inG,298333.0,4.0,
0.551,0.293,2.0,-12.503,1.0,0.0272,0.486,0.000273,0.0864,0.322,106.798,audio_features,4vpeKl0vMGdAXpZiQB2Dtd,spotify:track:4vpeKl0vMGdAXpZiQB2Dtd,https://api.spotify.com/v1/tracks/4vpeKl0vMGdAXpZiQB2Dtd,https://api.spotify.com/v1/audio-analysis/4vpeKl0vMGdAXpZiQB2Dtd,150640.0,4.0,
0.429,0.343,11.0,-16.637,0.0,0.0339,0.265,0.184,0.157,0.313,128.455,audio_features,3zJRvtQkHQRTNEXSY8jQPR,spotify:track:3zJRvtQkHQRTNEXSY8jQPR,https://api.spotify.com/v1/tracks/3zJRvtQkHQRTNEXSY8jQPR,https://api.spotify.com/v1/audio-analysis/3zJRvtQkHQRTNEXSY8jQPR,169560.0,4.0,
0.443,0.727,4.0,-7.951,1.0,0.145,0.263,0.000141,0.169,0.566,160.82,audio_features,1xKQbqQtQWrtQS47fUJBtl,spotify:track:1xKQbqQtQWrtQS47fUJBtl,https://api.spotify.com/v1/tracks/1xKQbqQtQWrtQS47fUJBtl,https://api.spotify.com/v1/audio-analysis/1xKQbqQtQWrtQS47fUJBtl,253333.0,4.0,
0.542,0.562,11.0,-10.727,0.0,0.0368,0.134,4.75e-06,0.411,0.709,116.972,audio_features,6ub8sQIKHkyYK4KlB9gbxh,spotify:track:6ub8sQIKHkyYK4KlB9gbxh,https://api.spotify.com/v1/tracks/6ub8sQIKHkyYK4KlB9gbxh,https://api.spotify.com/v1/audio-analysis/6ub8sQIKHkyYK4KlB9gbxh,214040.0,4.0,
0.699,0.467,4.0,-8.578,0.0,0.0375,0.685,0.0,0.315,0.764,119.287,audio_features,1Jmqubf9kGkWeYQXQKImL5,spotify:track:1Jmqubf9kGkWeYQXQKImL5,https://api.spotify.com/v1/tracks/1Jmqubf9kGkWeYQXQKImL5,https://api.spotify.com/v1/audio-analysis/1Jmqubf9kGkWeYQXQKImL5,130173.0,4.0,
0.39,0.502,10.0,-12.277,1.0,0.178,0.336,0.000138,0.0713,0.289,97.871,audio_features,3Am0IbOxmvlSXro7N5iSfZ,spotify:track:3Am0IbOxmvlSXro7N5iSfZ,https://api.spotify.com/v1/tracks/3Am0IbOxmvlSXro7N5iSfZ,https://api.spotify.com/v1/audio-analysis/3Am0IbOxmvlSXro7N5iSfZ,247320.0,4.0,
0.195,0.483,4.0,-4.991,0.0,0.03,0.465,0.497,0.0686,0.173,84.71,audio_features,6L5BZEcZmD6RBJnimzlyKr,spotify:track:6L5BZEcZmD6RBJnimzlyKr,https://api.spotify.com/v1/tracks/6L5BZEcZmD6RBJnimzlyKr,https://api.spotify.com/v1/audio-analysis/6L5BZEcZmD6RBJnimzlyKr,269107.0,4.0,
0.683,0.594,2.0,-8.289,1.0,0.0347,0.385,8.61e-05,0.121,0.734,115.099,audio_features,2K2M0TcglCRLLpFOzKeFZA,spotify:track:2K2M0TcglCRLLpFOzKeFZA,https://api.spotify.com/v1/tracks/2K2M0TcglCRLLpFOzKeFZA,https://api.spotify.com/v1/audio-analysis/2K2M0TcglCRLLpFOzKeFZA,250400.0,4.0,
0.383,0.516,9.0,-12.032,0.0,0.0344,0.202,0.193,0.114,0.371,118.144,audio_features,7n3WO6ESKS1uCI9fgkGs66,spotify:track:7n3WO6ESKS1uCI9fgkGs66,https://api.spotify.com/v1/tracks/7n3WO6ESKS1uCI9fgkGs66,https://api.spotify.com/v1/audio-analysis/7n3WO6ESKS1uCI9fgkGs66,224133.0,4.0,
0.674,0.706,9.0,-9.012,1.0,0.0384,0.108,6.48e-06,0.114,0.961,133.789,audio_features,042v1NacbKJzCyi6nBme7T,spotify:track:042v1NacbKJzCyi6nBme7T,https://api.spotify.com/v1/tracks/042v1NacbKJzCyi6nBme7T,https://api.spotify.com/v1/audio-analysis/042v1NacbKJzCyi6nBme7T,172400.0,4.0,
0.504,0.578,4.0,-9.302,1.0,0.031,0.408,0.0,0.321,0.654,132.411,audio_features,4uGIJG1jYFonGc4LGp5uQL,spotify:track:4uGIJG1jYFonGc4LGp5uQL,https://api.spotify.com/v1/tracks/4uGIJG1jYFonGc4LGp5uQL,https://api.spotify.com/v1/audio-analysis/4uGIJG1jYFonGc4LGp5uQL,174840.0,4.0,
0.492,0.53,2.0,-8.351,1.0,0.0308,0.151,0.0113,0.047,0.667,99.237,audio_features,4cvlph4w9RGpSH8tf1c885,spotify:track:4cvlph4w9RGpSH8tf1c885,https://api.spotify.com/v1/tracks/4cvlph4w9RGpSH8tf1c885,https://api.spotify.com/v1/audio-analysis/4cvlph4w9RGpSH8tf1c885,298267.0,4.0,
0.311,0.325,2.0,-9.042,1.0,0.0283,0.0469,0.0,0.139,0.668,65.09,audio_features,25yQPHgC35WNnnOUqFhgVR,spotify:track:25yQPHgC35WNnnOUqFhgVR,https://api.spotify.com/v1/tracks/25yQPHgC35WNnnOUqFhgVR,https://api.spotify.com/v1/audio-analysis/25yQPHgC35WNnnOUqFhgVR,208467.0,1.0,
0.304,0.77,9.0,-11.67,1.0,0.07,0.117,0.0,0.157,0.592,189.419,audio_features,3Jw1RfDEUEBBIIyNjGt9xP,spotify:track:3Jw1RfDEUEBBIIyNjGt9xP,https://api.spotify.com/v1/tracks/3Jw1RfDEUEBBIIyNjGt9xP,https://api.spotify.com/v1/audio-analysis/3Jw1RfDEUEBBIIyNjGt9xP,174760.0,4.0,
0.615,0.401,4.0,-14.07,0.0,0.0507,0.203,0.0,0.086,0.672,87.959,audio_features,5FlBGGwGuqYmqr0qeBWrxe,spotify:track:5FlBGGwGuqYmqr0qeBWrxe,https://api.spotify.com/v1/tracks/5FlBGGwGuqYmqr0qeBWrxe,https://api.spotify.com/v1/audio-analysis/5FlBGGwGuqYmqr0qeBWrxe,264960.0,4.0,
0.641,0.629,11.0,-14.214,0.0,0.0765,0.133,0.000525,0.178,0.33,107.827,audio_features,7CyKeDhZSLhY1nFjhyOsSK,spotify:track:7CyKeDhZSLhY1nFjhyOsSK,https://api.spotify.com/v1/tracks/7CyKeDhZSLhY1nFjhyOsSK,https://api.spotify.com/v1/audio-analysis/7CyKeDhZSLhY1nFjhyOsSK,204640.0,4.0,
0.225,0.618,8.0,-9.922,0.0,0.0331,0.00137,0.616,0.079,0.567,144.724,audio_features,29engDqjmMr3VLqMm0c0WE,spotify:track:29engDqjmMr3VLqMm0c0WE,https://api.spotify.com/v1/tracks/29engDqjmMr3VLqMm0c0WE,https://api.spotify.com/v1/audio-analysis/29engDqjmMr3VLqMm0c0WE,312253.0,4.0,
0.435,0.428,6.0,-11.747,1.0,0.0268,0.171,0.000708,0.149,0.61,95.534,audio_features,32ssNweOtmacNBEC2kHzA8,spotify:track:32ssNweOtmacNBEC2kHzA8,https://api.spotify.com/v1/tracks/32ssNweOtmacNBEC2kHzA8,https://api.spotify.com/v1/audio-analysis/32ssNweOtmacNBEC2kHzA8,187693.0,4.0,
